Name,Price,Rating,Product Link
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,16.98,4.5,https://www.amazon.com/Razer-DeathAdder-Essential-Gaming-Mouse/dp/B094PS5RZQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-2
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,29.44,4.6,https://www.amazon.com/Razer-Basilisk-Customizable-Ergonomic-Gaming/dp/B09C13PZX7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-3
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 54g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Buttons - 95 Hr Battery - Black,129.99,4.6,https://www.amazon.com/Razer-Viper-Wireless-Esports-Gaming/dp/B0CW25XR5R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-5
Razer Basilisk V3 X HyperSpeed Customizable Wireless Gaming Mouse: Mechanical Switches Gen-2-5G Advanced 18K Optical Sensor - Chroma RGB 9 Programmable Controls 535 Hr Battery Classic Black,37.99,4.4,https://www.amazon.com/Razer-Basilisk-HyperSpeed-Customizable-Wireless/dp/B0BXBC26X8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-6
Razer Viper V3 HyperSpeed Wireless Esports Gaming Mouse: 82g Lightweight - Up to 280 Hr Battery - 30K DPI Optical Sensor - Gen-2 Mechanical Switches - 8 Programmable Controls - Classic Black,42.99,4.4,https://www.amazon.com/Razer-HyperSpeed-Wireless-Esports-Gaming/dp/B0CF4DJM7F/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-7
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Blue",37.59,4.6,https://www.amazon.com/Logitech-Lightspeed-Wireless-Gaming-Mouse/dp/B086PDW7BB/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-8
Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - White,29.99,4.4,https://www.amazon.com/Razer-Orochi-Mobile-Wireless-Gaming/dp/B0916MW7CG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-10
"Redragon M602 Gaming Mouse, Ergonomic RGB Gaming Mouse Wired with 7200 Adjustable DPI, 9 Programmable Buttons, Professional Software for Gamer Office [Black]",19.99,4.6,https://www.amazon.com/Redragon-M602-Ergonomic-High-Precision-Programmable/dp/B011HMDZ0Q/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-11
Razer DeathAdder V2 X HyperSpeed: Award-Winning Ergonomic Design - Ultra-Fast Wireless - 235hr Battery Life - 7 Programmable Buttons - Gen 2 Mechanical Switches - 5G 14K DPI Optical Sensor,39.99,4.7,https://www.amazon.com/Razer-DeathAdder-Hyperspeed-Award-Winning-Programmable/dp/B09GK3LTVC/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-14
Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - Classic Black,29.99,4.4,https://www.amazon.com/Razer-Orochi-Mobile-Wireless-Gaming/dp/B0916N2LPZ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ysVWsXzGKOmsmgcBcTwq9EtFJ0pSfvdMVy7g7_mD3SQZFZYzHD_cyeDs9VuuwL9wbZMwzEja1utS4s1d42kBZAFK7jgP9yDwGteYLu0wlthUzW-VbqQs9q2FQdGOs0xzTe5294TmDBjJmHUUAy3TNkah3b4wKN9HDa8lo7bvQjOmswQNnSOwUqeAudYweb3ol9KYrH5FQdkpUPsXaF0xhU-RrB-JqYuOf45ox45xgYk.ufafuNI7JRvkOe_vpknTNd6j6y3zYniLwSc-18fRelA&dib_tag=se&keywords=gaming+mouse&qid=1763633810&sr=8-15
